Radius,image67,image68,image69,image70,image71,image72,image73,image74,image75,image76,image77,image78,image79,image80,image81,image82,image83,image84,image85,image86,image87
10,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,3,1,5,1
11,1,1,1,1,1,1,7,1,1,1,1,1,1,1,2,1,1,4,5,7,1
12,4,1,1,2,1,1,6,1,1,1,1,1,3,1,3,1,1,4,8,6,1
13,7,2,1,5,1,1,7,1,1,1,2,1,2,1,6,1,1,5,10,9,1
14,7,4,1,6,1,1,11,1,1,2,2,1,5,4,12,2,1,9,14,12,1
15,8,6,1,11,1,4,9,1,1,2,3,3,11,9,12,6,1,12,13,10,1
16,9,7,1,16,1,8,10,5,1,3,4,5,15,10,14,3,1,14,16,10,4
17,14,9,2,20,4,7,11,9,1,2,6,7,14,13,18,5,3,14,28,11,3
18,13,13,5,18,5,12,8,18,1,9,9,11,16,18,20,9,6,13,25,13,7
19,12,12,5,24,7,17,11,16,1,10,13,13,19,15,20,7,11,9,25,10,7
20,13,14,9,27,6,18,13,19,1,14,13,11,17,20,20,19,16,7,20,13,9
21,16,13,5,26,12,17,14,26,1,17,17,21,21,22,20,15,15,5,21,11,8
22,14,15,11,25,15,17,13,23,1,17,20,17,24,26,29,18,19,12,22,15,9
23,18,18,12,30,16,21,14,25,3,20,24,15,24,27,25,24,24,16,23,18,9
24,22,20,16,28,24,21,18,24,11,22,27,17,22,28,23,21,30,11,24,18,13
25,24,18,17,35,31,30,20,25,10,17,26,14,25,31,24,24,30,11,30,18,16
26,27,25,18,42,30,28,24,25,17,20,35,14,23,34,27,22,32,11,29,17,21
27,30,26,17,38,28,31,25,32,17,21,36,20,21,34,28,24,26,14,27,21,20
28,29,24,22,37,34,28,27,27,17,23,40,18,24,35,27,20,30,13,29,22,22
29,24,21,21,42,39,28,34,25,27,28,40,14,23,32,30,26,35,17,25,23,22
30,26,24,21,39,35,29,27,26,23,26,38,15,27,32,32,25,35,17,27,26,22
31,23,34,25,45,39,31,31,29,32,24,37,20,29,31,33,24,36,28,27,26,28
32,31,29,28,40,34,30,29,32,29,24,42,20,27,35,34,30,35,25,31,23,26
33,28,30,29,40,38,29,26,37,30,25,48,21,28,32,29,30,35,26,33,22,27
34,27,30,35,36,39,28,22,38,29,24,45,30,32,40,32,30,46,31,25,26,29
35,29,32,35,42,36,36,27,35,33,25,60,28,35,39,35,26,50,24,24,25,34
36,30,34,31,47,41,37,28,37,40,22,46,30,32,40,35,30,52,28,25,20,39
37,30,39,31,53,43,43,28,36,41,21,45,30,27,35,29,31,51,24,28,26,40
38,32,35,33,45,45,47,29,37,39,22,38,29,32,27,33,31,51,22,26,28,37
39,34,38,37,45,48,44,28,35,45,22,47,26,31,28,33,35,50,25,23,26,52
40,39,30,42,49,42,48,32,41,49,20,44,26,31,37,35,38,45,28,19,30,37
41,35,37,42,47,53,44,32,37,59,18,54,21,33,39,34,34,51,31,23,29,39
42,38,31,40,44,61,43,36,33,55,24,55,27,34,44,33,37,57,29,27,27,41
43,40,28,46,53,66,51,30,37,51,27,66,25,37,40,31,31,55,28,28,25,44
44,37,33,48,53,58,51,26,36,46,23,50,29,29,41,37,36,56,31,25,26,40
45,36,36,51,46,65,56,27,43,45,29,51,31,30,45,34,39,54,31,25,23,39
46,40,36,45,58,62,55,25,39,46,29,45,26,26,43,35,36,60,34,18,29,44
47,43,36,44,47,75,44,31,39,55,23,48,25,23,42,33,34,61,31,24,32,47
48,43,34,44,43,74,45,27,39,57,23,51,24,31,43,35,39,61,29,31,28,47
49,40,35,47,47,79,40,28,38,64,26,49,26,28,34,41,39,63,32,25,29,40
50,42,37,49,52,72,39,28,41,59,29,53,23,29,37,42,41,54,38,30,28,41
51,42,44,53,53,85,39,26,37,67,32,55,22,31,39,41,33,57,34,28,23,45
52,40,42,52,52,90,39,26,45,56,27,44,25,26,32,46,30,72,32,30,26,42
53,41,46,51,52,84,37,22,53,61,23,50,21,25,39,46,26,69,37,34,25,43
54,36,41,42,52,83,34,23,44,76,24,55,27,29,41,41,32,64,36,37,27,40
55,37,47,32,54,90,34,23,47,71,21,54,20,24,43,43,31,63,33,42,27,45
56,40,44,38,52,78,39,24,49,78,19,48,20,30,43,44,45,65,32,39,26,48
57,37,36,41,48,77,34,27,48,69,18,43,24,27,41,45,39,71,39,45,30,51
58,46,38,37,55,82,32,30,39,76,17,43,26,23,40,46,33,70,40,42,28,46
59,42,46,42,60,87,30,26,40,80,20,36,26,26,36,44,32,65,40,43,29,47
60,39,43,41,56,92,31,34,52,81,22,42,20,28,39,49,30,63,48,42,28,42
61,39,38,42,58,85,24,32,47,92,23,35,19,22,43,49,39,57,38,45,30,50
62,40,45,42,55,87,24,25,43,88,16,45,19,26,43,45,40,53,37,43,28,50
63,38,40,44,59,89,24,28,46,85,19,44,18,20,42,45,42,63,39,44,34,50
64,50,38,40,59,89,16,31,40,87,23,51,17,27,44,46,34,49,34,47,32,52
