Radius,image67,image68,image69,image70,image71,image72,image73,image74,image75,image76,image77,image78,image79,image80,image81,image82,image83,image84,image85,image86,image87
65,41,39,40,50,95,14,26,32,85,20,40,14,29,46,52,37,54,30,44,30,56
66,43,31,34,49,96,11,27,41,91,19,39,13,25,40,46,35,51,33,46,26,55
67,47,26,39,52,85,10,25,42,89,21,37,12,30,46,47,37,52,37,41,28,52
68,45,35,35,44,99,8,26,48,82,17,34,13,34,52,50,38,52,40,42,30,59
69,44,30,39,49,93,9,31,50,76,17,36,10,34,45,45,35,49,39,39,24,54
70,51,31,41,52,95,8,33,42,76,19,37,9,29,44,47,38,43,36,45,20,51
71,55,32,36,45,98,9,28,34,84,15,33,7,33,43,41,49,50,34,43,22,57
72,47,28,40,47,87,7,30,39,82,17,33,6,31,45,52,33,46,38,48,22,57
73,52,30,45,41,90,8,24,40,77,21,31,6,33,44,50,36,42,39,46,32,41
74,54,26,43,44,92,4,26,41,86,21,35,7,34,46,49,50,49,41,46,29,46
75,52,25,46,42,79,6,21,50,86,22,29,6,33,45,41,45,40,38,48,31,58
76,47,24,44,49,82,5,23,40,81,22,31,7,32,42,42,45,40,42,53,29,59
77,60,24,49,44,86,7,22,38,73,19,25,6,35,44,33,49,43,37,41,30,48
78,44,20,42,41,81,6,24,47,73,18,23,5,31,38,37,43,43,44,42,33,44
79,42,18,50,35,78,5,24,47,64,24,26,4,32,36,36,33,45,40,43,32,41
80,47,18,48,41,67,4,21,45,70,22,24,3,29,38,29,36,42,41,43,29,47
81,49,18,49,36,69,3,23,36,74,22,17,3,32,49,30,41,48,36,38,29,49
82,45,17,45,35,73,3,25,43,69,20,8,4,31,43,30,44,49,38,41,26,50
83,39,20,47,35,71,2,23,43,63,17,9,5,28,36,28,40,44,36,39,26,52
84,40,20,56,30,76,1,21,44,58,18,10,6,25,41,29,37,51,38,33,22,41
85,38,20,45,24,63,1,22,43,48,13,8,5,25,37,24,39,54,38,29,23,39
86,38,19,53,29,69,1,23,39,63,19,8,7,27,35,27,38,54,32,27,22,42
87,29,15,61,30,61,1,21,40,64,12,7,5,33,35,23,30,42,31,27,22,41
88,27,19,57,28,65,1,22,36,66,14,8,6,29,37,25,29,45,37,25,23,36
89,28,18,52,26,62,1,23,38,74,12,6,6,29,33,25,35,52,33,27,20,31
90,25,23,52,29,64,1,22,38,66,13,8,7,28,36,27,40,51,30,23,20,37
91,22,22,57,29,66,0,20,36,67,13,6,7,28,33,25,34,51,33,24,21,33
92,20,19,47,25,62,1,20,32,65,8,5,6,29,33,25,46,50,34,26,24,35
93,21,18,57,24,63,1,21,32,61,6,4,8,32,25,24,49,39,24,22,21,33
94,19,16,54,25,69,0,19,33,50,8,6,4,32,24,25,44,41,26,25,22,30
95,24,18,58,29,60,0,19,31,51,7,6,2,28,22,24,44,39,32,26,21,28
96,22,17,50,26,62,0,18,34,46,7,6,2,30,19,20,48,33,32,27,18,30
97,20,16,50,28,72,0,16,29,49,7,5,6,30,25,27,40,33,37,24,16,33
98,22,17,45,21,57,0,18,32,50,6,5,6,21,19,24,38,34,39,16,17,30
99,22,13,44,20,58,0,15,37,46,6,5,4,22,14,30,46,30,41,19,16,28
100,23,14,53,18,68,0,12,36,44,7,3,5,27,12,31,42,24,33,15,18,21
101,18,13,43,17,61,0,11,31,41,6,5,6,21,12,28,37,29,27,16,24,16
102,19,17,42,19,61,0,8,28,38,5,4,4,21,11,25,40,32,25,17,16,17
103,18,13,42,20,60,0,6,28,37,4,4,4,20,11,27,37,21,23,19,16,17
104,16,13,42,15,68,0,5,29,41,4,3,3,18,6,35,37,25,21,20,13,13
105,15,13,41,26,60,0,5,23,40,4,5,4,20,7,28,35,18,18,20,17,13
106,17,17,41,17,66,0,6,25,30,4,5,4,16,6,25,35,15,29,23,11,15
107,18,14,36,17,67,0,6,24,28,5,5,5,16,5,28,30,16,19,30,17,13
108,19,16,32,15,69,0,7,28,39,4,6,5,17,2,27,31,17,21,18,15,9
109,18,17,33,12,71,0,6,21,27,2,4,5,16,2,19,28,15,21,20,14,8
110,16,13,25,12,59,0,5,20,29,3,5,3,14,2,26,26,18,18,21,14,10
111,15,13,24,12,52,0,4,24,22,3,3,4,14,3,21,23,16,20,18,14,7
112,20,10,19,10,55,0,5,17,28,4,2,2,10,6,19,20,16,15,16,16,8
113,20,11,19,10,51,0,4,18,18,4,2,1,16,7,15,25,17,15,18,17,8
114,20,14,14,7,46,0,4,15,21,3,1,1,12,3,16,23,13,18,18,15,6
115,22,12,14,7,48,0,2,15,20,4,1,1,12,3,13,16,12,15,18,12,6
116,22,13,17,5,47,0,2,13,17,4,1,2,11,3,15,15,11,17,14,11,6
117,17,14,18,2,44,0,1,15,17,3,2,1,7,2,8,18,11,18,16,12,8
118,16,16,16,1,52,0,0,20,18,1,1,1,8,2,7,22,8,13,24,11,7
119,20,13,14,1,55,0,0,23,23,1,2,1,7,3,8,19,7,15,20,10,8
120,17,13,9,1,37,0,0,22,15,1,1,1,5,4,7,17,7,12,10,11,5
121,17,14,5,2,39,0,0,21,12,1,1,2,4,4,4,21,7,11,14,12,6
122,14,14,4,2,50,0,0,21,13,1,1,3,3,5,3,18,6,13,12,10,6
123,17,13,6,1,39,0,0,24,7,1,1,3,3,3,2,16,9,10,12,13,5
124,17,13,8,0,35,0,0,21,7,1,1,5,5,3,3,12,6,9,12,10,6
125,19,14,6,1,36,0,0,19,11,1,1,5,3,4,3,18,8,11,12,12,2
126,14,12,8,0,37,0,0,14,10,1,1,3,3,3,1,17,13,9,10,11,2
127,15,13,6,0,41,0,0,19,10,1,1,3,3,4,1,15,8,10,11,12,0
128,14,15,7,0,39,0,0,21,7,1,0,3,3,2,1,14,10,10,8,13,0
129,12,13,4,0,30,0,0,23,7,1,0,2,3,3,1,11,7,9,6,11,0
130,13,14,8,0,26,0,0,24,6,1,0,2,2,1,1,11,7,9,3,13,0
131,9,16,6,0,25,0,0,20,7,1,0,2,2,2,3,15,5,10,3,11,0
132,6,16,5,0,24,0,0,20,8,1,0,2,2,1,1,13,6,11,3,8,0
133,7,11,6,0,27,0,0,19,7,1,0,2,2,3,1,15,4,10,4,7,0
134,6,11,9,0,24,0,0,18,7,2,0,2,2,2,1,13,3,11,4,8,0
135,5,9,10,0,21,0,0,14,9,1,0,2,1,0,1,10,2,13,3,8,0
136,7,10,7,0,18,0,0,16,8,1,0,2,1,0,0,6,2,9,4,10,0
137,6,11,10,0,17,0,0,14,4,2,0,2,1,0,0,9,2,11,2,11,0
138,6,10,8,0,15,0,0,12,6,3,0,2,1,0,0,7,2,10,2,8,0
139,9,10,8,0,13,0,0,14,5,2,0,5,1,0,0,10,3,11,1,6,0
140,6,9,5,0,17,0,0,14,4,1,0,3,1,0,0,5,2,10,2,8,0
141,7,10,5,0,13,0,0,15,2,1,0,1,1,0,0,4,1,15,1,5,0
142,4,10,5,0,9,0,0,14,2,1,0,1,1,0,0,3,2,13,1,6,0
143,4,11,6,0,11,0,0,10,2,1,0,1,1,0,0,3,2,11,1,5,0
144,2,9,5,0,13,0,0,15,1,1,0,1,1,0,0,5,2,17,0,6,0
145,2,8,7,0,9,0,0,13,1,2,0,1,1,0,0,7,0,18,0,6,0
146,2,10,8,0,11,0,0,13,1,1,0,1,1,0,0,6,0,14,0,4,0
147,2,10,5,0,8,0,0,13,2,3,0,1,1,0,0,5,0,15,0,4,0
148,3,9,6,0,7,0,0,15,1,1,0,1,1,0,0,5,0,12,0,4,0
149,2,8,6,0,6,0,0,9,1,1,0,0,1,0,0,4,0,17,0,4,0
150,3,9,5,0,4,0,0,9,1,1,0,0,1,0,0,4,0,16,0,4,0
