Radius,image112,image113,image114,image115,image116,image117,image118,image119,image120,image121,image122,image123,image124,image125,image126,image127,image128,image129
92,7,2,21,6,27,13,21,21,13,8,16,20,1,7,19,10,13,6
93,9,2,17,7,18,18,18,22,12,7,14,19,2,6,16,11,9,6
94,9,3,17,7,19,16,18,13,9,8,14,15,1,10,14,14,10,7
95,10,2,19,6,23,13,17,12,8,5,17,17,1,7,17,14,12,6
96,11,3,23,6,21,12,15,14,9,5,11,19,1,6,21,11,11,7
97,9,4,20,7,20,12,13,13,8,4,15,17,1,9,15,12,12,8
98,8,2,20,7,16,11,14,13,12,4,14,17,3,4,26,14,11,6
99,10,3,16,7,17,8,17,11,10,3,14,14,1,6,18,12,10,5
100,4,1,12,7,13,10,17,12,9,5,10,14,0,6,13,9,11,5
101,4,1,15,6,11,7,19,10,10,3,7,15,0,9,12,8,10,6
102,5,1,13,5,10,6,19,11,12,3,7,13,0,8,14,8,9,7
103,4,2,8,5,8,9,14,11,8,3,8,14,0,5,18,7,9,5
104,7,2,6,4,5,9,17,9,6,3,5,11,0,4,18,6,9,9
105,7,3,9,4,5,9,20,11,6,3,3,10,0,5,15,5,12,9
106,7,3,8,4,7,11,23,11,5,2,4,9,0,4,16,5,8,7
107,9,2,8,4,5,10,15,10,9,2,4,10,0,4,13,5,8,7
108,5,3,7,4,5,9,16,6,10,3,4,10,0,3,9,6,9,6
109,6,3,6,3,3,7,16,8,7,3,3,10,0,3,11,5,9,7
110,4,3,6,3,3,12,13,10,7,2,4,10,0,1,14,5,6,6
111,3,2,6,3,2,14,12,9,8,1,3,8,0,1,12,6,5,8
112,3,2,7,4,3,9,12,11,6,1,2,9,0,1,14,5,4,6
113,3,3,4,2,1,11,11,11,7,1,2,8,0,1,11,6,4,8
114,4,1,5,1,0,11,10,13,7,1,2,9,0,2,12,6,5,5
115,2,1,3,2,0,15,9,16,4,1,3,10,0,1,8,6,6,6
116,2,1,4,2,0,9,8,12,4,1,3,9,0,1,9,7,3,5
117,2,1,3,1,0,9,9,12,4,1,3,10,0,1,10,5,3,9
118,2,2,2,1,0,9,9,8,6,1,2,8,0,2,11,4,3,4
119,0,1,2,1,0,10,10,8,6,1,1,8,0,2,8,4,3,4
120,0,1,2,2,0,5,8,10,2,1,1,7,0,1,8,4,3,3
121,0,1,2,1,0,4,8,10,1,1,2,9,0,1,10,4,3,4
122,0,1,2,1,0,3,10,13,1,1,2,8,0,1,7,4,2,3
